total,pde,bc
301.703125,301.5802001953125,0.12293131649494171
116.22257232666016,116.14857482910156,0.07399491965770721
60.3851318359375,60.335601806640625,0.049530550837516785
39.486629486083984,39.44813919067383,0.03849063441157341
29.449369430541992,29.416494369506836,0.032874733209609985
23.23577117919922,23.20660400390625,0.029166333377361298
18.776418685913086,18.750335693359375,0.026083368808031082
15.319887161254883,15.296627044677734,0.023260196670889854
12.574394226074219,12.55368423461914,0.020710110664367676
10.447582244873047,10.429033279418945,0.018549293279647827
8.856905937194824,8.840065956115723,0.016839558258652687
7.663414001464844,7.647871017456055,0.015543065965175629
6.711421489715576,6.6968674659729,0.014553919434547424
5.885961055755615,5.872206687927246,0.013754297979176044
5.135204315185547,5.122148513793945,0.013055761344730854
4.45536994934082,4.442958354949951,0.0124117536470294
3.8606011867523193,3.8487932682037354,0.01180795393884182
3.3591158390045166,3.3478708267211914,0.011244951747357845
2.9447314739227295,2.934006929397583,0.010724591091275215
2.601154088973999,2.590909719467163,0.010244426317512989
2.3108010292053223,2.3010025024414062,0.009798454120755196
2.061039686203003,2.05165958404541,0.00938008539378643
1.8453259468078613,1.8363416194915771,0.00898434966802597
1.6606980562210083,1.6520895957946777,0.008608422242105007
1.5045275688171387,1.4962764978408813,0.008251069113612175
1.3726625442504883,1.364750623703003,0.007911931723356247
1.2594939470291138,1.2519028186798096,0.007591095753014088
1.1592787504196167,1.1519896984100342,0.007288999389857054
1.0675944089889526,1.060588002204895,0.007006398867815733
0.9820680618286133,0.9753239154815674,0.006744164042174816
0.9021653532981873,0.8956624269485474,0.0065029156394302845
0.8283532857894897,0.8220707178115845,0.006282593589276075
0.7612192034721375,0.7551369667053223,0.006082210689783096
0.7009599208831787,0.6950600147247314,0.005899935029447079
0.6473360657691956,0.641602635383606,0.00573340617120266
0.5998844504356384,0.5943042635917664,0.005580198019742966
0.5581109523773193,0.552672803401947,0.005438166204839945
0.5214905142784119,0.51618492603302,0.0053055984899401665
0.48933145403862,0.4841502606868744,0.00518118217587471
0.46066147089004517,0.4555976092815399,0.005063869524747133
0.43430095911026,0.4293481409549713,0.004952812567353249
0.40913280844688416,0.4042854309082031,0.004847367759793997
0.3844413757324219,0.37969422340393066,0.004747167229652405
0.3601289689540863,0.3554767966270447,0.004652183502912521
0.3366827368736267,0.33212006092071533,0.004562678746879101
0.3148965835571289,0.3104175329208374,0.004479057155549526
0.295483261346817,0.29108160734176636,0.00440165726467967
0.27876001596450806,0.27442944049835205,0.004330575466156006
0.26453766226768494,0.2602720558643341,0.0042656115256249905
0.25223952531814575,0.24803319573402405,0.004206331446766853
0.24116151034832,0.23700928688049316,0.004152222536504269
0.2307349592447281,0.22663208842277527,0.0041028643026947975
0.22067983448505402,0.21662181615829468,0.004058024380356073
0.2109985500574112,0.2069808840751648,0.0040176729671657085
0.20185425877571106,0.1978723704814911,0.003981889225542545
0.19341488182544708,0.18946415185928345,0.003950733691453934
0.18574240803718567,0.18181829154491425,0.00392412394285202
0.1787673383951187,0.17486557364463806,0.0039017628878355026
0.17233870923519135,0.1684555858373642,0.0038831247948110104
0.1663036346435547,0.1624361276626587,0.003867499763146043
0.1605674922466278,0.15671342611312866,0.003854063805192709
0.15511128306388855,0.1512693166732788,0.003841967089101672
0.14996622502803802,0.14613580703735352,0.003830420318990946
0.1451713889837265,0.14135262370109558,0.0038187638856470585
0.14073988795280457,0.1369333565235138,0.003806531662121415
0.13664977252483368,0.13285627961158752,0.003793491516262293
0.1328563094139099,0.12907665967941284,0.003779652062803507
0.1293123960494995,0.1255471557378769,0.0037652438040822744
0.12598291039466858,0.12223225831985474,0.0037506483495235443
0.12284675985574722,0.11911042779684067,0.0037363285664469004
0.11989062279462814,0.11616790294647217,0.0037227170541882515
0.11710072308778763,0.11339058727025986,0.003710136516019702
0.11446204781532288,0.110763318836689,0.003698726650327444
0.11196058988571167,0.10827217251062393,0.0036884211003780365
0.10958871245384216,0.10590976476669312,0.003678945591673255
0.1073445975780487,0.1036747395992279,0.00366985728032887
0.1052272617816925,0.10156664997339249,0.003660615300759673
0.10322975367307663,0.0995790958404541,0.0036506610922515392
0.10133510828018188,0.09769559651613235,0.003639515256509185
0.09952026605606079,0.09589341282844543,0.0036268567200750113
0.09776365756988525,0.09415106475353241,0.0036125911865383387
0.09605462849140167,0.09245776385068893,0.003596863243728876
0.09439556300640106,0.09081551432609558,0.0035800463519990444
0.09279873222112656,0.0892360508441925,0.0035626792814582586
0.09127697348594666,0.08773159980773926,0.0035453764721751213
0.0898355022072792,0.08630677312612534,0.003528730245307088
0.08846846222877502,0.08495523035526276,0.00351323070935905
0.08716227859258652,0.08366309106349945,0.003499190555885434
0.08590248227119446,0.08241576701402664,0.0034867161884903908
0.08467929065227509,0.08120357990264893,0.0034757121466100216
0.0834905207157135,0.08002462238073349,0.0034659001976251602
0.08233846724033356,0.07888159155845642,0.003456874517723918
0.08122550696134567,0.07777734100818634,0.0034481652546674013
0.08015083521604538,0.07671152800321579,0.0034393095411360264
0.07910937070846558,0.07567945122718811,0.003429919248446822
0.07809504121541977,0.0746753066778183,0.0034197350032627583
0.0771029144525528,0.07369426637887955,0.0034086487721651793
0.07613163441419601,0.07273492217063904,0.0033967094495892525
0.07518310844898224,0.07179901748895645,0.003384093753993511
0.07426026463508606,0.0708891972899437,0.003371065715327859
0.0733647495508194,0.0700068324804306,0.003357918467372656
0.0724959522485733,0.06915102899074554,0.00334492651745677
0.07165101170539856,0.06831870973110199,0.003332303836941719
0.07082638889551163,0.06750621646642685,0.0033201705664396286
